timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:16:55.161, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.261, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.361, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.462, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.562, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.662, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.762, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.862, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:55.963, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:16:56.063, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48668 MiB, 5 MiB
2024/10/01 15:16:56.163, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48668 MiB, 5 MiB
2024/10/01 15:16:56.263, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48668 MiB, 5 MiB
2024/10/01 15:16:56.363, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48668 MiB, 5 MiB
2024/10/01 15:16:56.463, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:16:56.651, NVIDIA RTX A6000, 1 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:16:56.751, NVIDIA RTX A6000, 1 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:16:56.851, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:16:56.951, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:16:57.052, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:16:57.152, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:16:57.252, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:57.352, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:57.452, NVIDIA RTX A6000, 2 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:57.552, NVIDIA RTX A6000, 2 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:57.652, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:57.753, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:57.853, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:57.953, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.053, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.153, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.253, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.354, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.454, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.554, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.654, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.754, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.854, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:58.955, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.055, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.155, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.255, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.355, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.455, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.555, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.656, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48361 MiB, 312 MiB
2024/10/01 15:16:59.756, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 47337 MiB, 1336 MiB
2024/10/01 15:16:59.856, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 46697 MiB, 1976 MiB
2024/10/01 15:16:59.956, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 45849 MiB, 2824 MiB
2024/10/01 15:17:00.056, NVIDIA RTX A6000, 70 %, 11 %, 49140 MiB, 47821 MiB, 852 MiB
2024/10/01 15:17:00.157, NVIDIA RTX A6000, 70 %, 11 %, 49140 MiB, 48317 MiB, 356 MiB
2024/10/01 15:17:00.257, NVIDIA RTX A6000, 39 %, 4 %, 49140 MiB, 46653 MiB, 2020 MiB
2024/10/01 15:17:00.357, NVIDIA RTX A6000, 39 %, 4 %, 49140 MiB, 45767 MiB, 2906 MiB
2024/10/01 15:17:00.457, NVIDIA RTX A6000, 63 %, 10 %, 49140 MiB, 47119 MiB, 1554 MiB
2024/10/01 15:17:00.557, NVIDIA RTX A6000, 63 %, 10 %, 49140 MiB, 48273 MiB, 400 MiB
2024/10/01 15:17:00.657, NVIDIA RTX A6000, 42 %, 5 %, 49140 MiB, 47249 MiB, 1424 MiB
2024/10/01 15:17:00.758, NVIDIA RTX A6000, 42 %, 5 %, 49140 MiB, 45711 MiB, 2962 MiB
2024/10/01 15:17:00.858, NVIDIA RTX A6000, 56 %, 8 %, 49140 MiB, 47787 MiB, 886 MiB
2024/10/01 15:17:00.958, NVIDIA RTX A6000, 56 %, 8 %, 49140 MiB, 48355 MiB, 318 MiB
2024/10/01 15:17:01.058, NVIDIA RTX A6000, 49 %, 7 %, 49140 MiB, 46691 MiB, 1982 MiB
2024/10/01 15:17:01.158, NVIDIA RTX A6000, 49 %, 7 %, 49140 MiB, 45843 MiB, 2830 MiB
2024/10/01 15:17:01.258, NVIDIA RTX A6000, 64 %, 10 %, 49140 MiB, 48309 MiB, 364 MiB
2024/10/01 15:17:01.358, NVIDIA RTX A6000, 64 %, 10 %, 49140 MiB, 47287 MiB, 1386 MiB
2024/10/01 15:17:01.459, NVIDIA RTX A6000, 41 %, 5 %, 49140 MiB, 46647 MiB, 2026 MiB
2024/10/01 15:17:01.559, NVIDIA RTX A6000, 41 %, 5 %, 49140 MiB, 46047 MiB, 2626 MiB
