timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:20:55.949, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.049, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.149, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.249, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.349, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.450, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.550, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.650, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.750, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.850, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:56.950, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48405 MiB, 268 MiB
2024/10/01 15:20:57.051, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.151, NVIDIA RTX A6000, 3 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.251, NVIDIA RTX A6000, 3 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.351, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.451, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.551, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.652, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.752, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.852, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46797 MiB, 1876 MiB
2024/10/01 15:20:57.952, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 37153 MiB, 11520 MiB
2024/10/01 15:20:58.052, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 43573 MiB, 5100 MiB
2024/10/01 15:20:58.159, NVIDIA RTX A6000, 13 %, 5 %, 49140 MiB, 35543 MiB, 13130 MiB
2024/10/01 15:20:58.259, NVIDIA RTX A6000, 13 %, 5 %, 49140 MiB, 43377 MiB, 5296 MiB
2024/10/01 15:20:58.361, NVIDIA RTX A6000, 96 %, 31 %, 49140 MiB, 42745 MiB, 5928 MiB
2024/10/01 15:20:58.461, NVIDIA RTX A6000, 96 %, 31 %, 49140 MiB, 43501 MiB, 5172 MiB
2024/10/01 15:20:58.561, NVIDIA RTX A6000, 100 %, 41 %, 49140 MiB, 43323 MiB, 5350 MiB
2024/10/01 15:20:58.661, NVIDIA RTX A6000, 100 %, 41 %, 49140 MiB, 43135 MiB, 5538 MiB
2024/10/01 15:20:58.761, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42343 MiB, 6330 MiB
2024/10/01 15:20:58.861, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 43021 MiB, 5652 MiB
2024/10/01 15:20:58.962, NVIDIA RTX A6000, 37 %, 8 %, 49140 MiB, 42741 MiB, 5932 MiB
2024/10/01 15:20:59.062, NVIDIA RTX A6000, 37 %, 8 %, 49140 MiB, 42461 MiB, 6212 MiB
2024/10/01 15:20:59.162, NVIDIA RTX A6000, 67 %, 18 %, 49140 MiB, 42287 MiB, 6386 MiB
2024/10/01 15:20:59.262, NVIDIA RTX A6000, 67 %, 18 %, 49140 MiB, 42083 MiB, 6590 MiB
2024/10/01 15:20:59.362, NVIDIA RTX A6000, 29 %, 3 %, 49140 MiB, 41953 MiB, 6720 MiB
2024/10/01 15:20:59.462, NVIDIA RTX A6000, 29 %, 3 %, 49140 MiB, 46591 MiB, 2082 MiB
2024/10/01 15:20:59.563, NVIDIA RTX A6000, 37 %, 3 %, 49140 MiB, 47183 MiB, 1490 MiB
2024/10/01 15:20:59.663, NVIDIA RTX A6000, 37 %, 3 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:20:59.763, NVIDIA RTX A6000, 60 %, 5 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:20:59.863, NVIDIA RTX A6000, 60 %, 5 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:20:59.963, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:00.063, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
